Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:22:44.0,1.95,44.98,17.49
2,1,오후 4:22:49.0,1.95,43.86,15.56
3,1,오후 4:22:54.0,2.08,41.78,15.19
4,1,오후 4:22:59.0,1.84,43.48,16.88
5,1,오후 4:23:04.0,2.15,43.71,19.86
6,1,오후 4:23:09.0,1.86,42.85,16.01
7,1,오후 4:23:14.0,1.84,44.21,15.71
8,1,오후 4:23:19.0,1.99,42.39,19.54
9,1,오후 4:23:24.0,1.97,40.92,16.31
10,1,오후 4:23:29.0,2.11,41.14,19.56
11,1,오후 4:23:34.0,1.92,43.69,16.95
12,1,오후 4:23:39.0,1.93,42.38,18.81
13,1,오후 4:23:44.0,1.96,43.68,11.05
14,1,오후 4:23:49.0,2.17,42.54,15.16
15,1,오후 4:23:54.0,1.88,41.05,15.59
16,1,오후 4:23:59.0,2.0,42.03,18.31
17,1,오후 4:24:04.0,1.93,41.77,17.01
18,1,오후 4:24:09.0,1.86,40.47,18.74
19,1,오후 4:24:14.0,1.95,43.02,16.74
20,1,오후 4:24:19.0,1.97,40.38,15.35
21,1,오후 4:24:24.0,2.18,44.88,15.49
22,1,오후 4:24:29.0,1.93,42.56,17.49
23,1,오후 4:24:34.0,2.1,40.52,17.32
24,1,오후 4:24:39.0,2.05,40.76,16.5
25,1,오후 4:24:44.0,2.15,44.18,16.58
26,1,오후 4:24:49.0,1.88,43.67,17.74
27,1,오후 4:24:54.1,1.86,42.31,18.89
28,1,오후 4:24:59.1,1.96,43.68,11.05
29,1,오후 4:25:04.1,1.94,40.93,18.22
30,1,오후 4:25:09.1,1.89,42.17,17.99
31,1,오후 4:25:14.1,2.13,43.72,17.2
32,1,오후 4:25:19.1,2.1,41.86,17.14
33,1,오후 4:25:24.1,1.81,40.54,17.88
34,1,오후 4:25:29.1,1.96,42.86,19.56
35,1,오후 4:25:34.1,2.12,40.04,15.14
36,1,오후 4:25:39.1,2.11,41.13,16.62
